Infinitive,смо́лкнуть
Zaliznyak Class,3°a[⑥]
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,смо́лкший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,short
PART:1:Participle Text,смо́лкнувший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,смо́лкнув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,смо́лкши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,смо́лкну
2nd Sing,смо́лкнешь
3rd Sing,смо́лкнет
1st Pl,смо́лкнем
2nd Pl,смо́лкнете
3rd Pl,смо́лкнут
Past M,смо́лк
Past F,смо́лкла
Past N,смо́лкло
Past PL,смо́лкли
Imp S,смо́лкни
Imp PL,смо́лкните
