Infinitive,смеша́ться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,смеша́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,смеша́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,смеша́юсь
2nd Sing,смеша́ешься
3rd Sing,смеша́ется
1st Pl,смеша́емся
2nd Pl,смеша́етесь
3rd Pl,смеша́ются
Past M,смеша́лся
Past F,смеша́лась
Past N,смеша́лось
Past PL,смеша́лись
Imp S,смеша́йся
Imp PL,смеша́йтесь
