Infinitive,сме́рить
Zaliznyak Class,4a // 1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,сме́ривший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сме́ренный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сме́рив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,сме́ривши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сме́рю
2nd Sing,сме́ришь
3rd Sing,сме́рит
1st Pl,сме́рим
2nd Pl,сме́рите
3rd Pl,сме́рят
Past M,сме́рил
Past F,сме́рила
Past N,сме́рило
Past PL,сме́рили
Imp S,сме́рь
Imp PL,сме́рьте
