Infinitive,смести́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,смести́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,смести́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,смещу́сь
2nd Sing,смести́шься
3rd Sing,смести́тся
1st Pl,смести́мся
2nd Pl,смести́тесь
3rd Pl,сместя́тся
Past M,смести́лся
Past F,смести́лась
Past N,смести́лось
Past PL,смести́лись
Imp S,смести́сь
Imp PL,смести́тесь
