Infinitive,смути́ть
Zaliznyak Class,4b(-щ-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,смути́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,смущённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,смути́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,смути́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,смущу́
2nd Sing,смути́шь
3rd Sing,смути́т
1st Pl,смути́м
2nd Pl,смути́те
3rd Pl,смутя́т
Past M,смути́л
Past F,смути́ла
Past N,смути́ло
Past PL,смути́ли
Imp S,смути́
Imp PL,смути́те
