Infinitive,смири́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,смири́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,смирённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,смири́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,смири́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,смирю́
2nd Sing,смири́шь
3rd Sing,смири́т
1st Pl,смири́м
2nd Pl,смири́те
3rd Pl,смиря́т
Past M,смири́л
Past F,смири́ла
Past N,смири́ло
Past PL,смири́ли
Imp S,смири́
Imp PL,смири́те
