Infinitive,сморка́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,сморка́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,сморка́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,сморка́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,сморка́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сморка́юсь
2nd Sing,сморка́ешься
3rd Sing,сморка́ется
1st Pl,сморка́емся
2nd Pl,сморка́етесь
3rd Pl,сморка́ются
Past M,сморка́лся
Past F,сморка́лась
Past N,сморка́лось
Past PL,сморка́лись
Imp S,сморка́йся
Imp PL,сморка́йтесь
