Infinitive,смо́рщиться
Zaliznyak Class,4a[③]
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,смо́рщившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,смо́рщившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,смо́рщусь
2nd Sing,смо́рщишься
3rd Sing,смо́рщится
1st Pl,смо́рщимся
2nd Pl,смо́рщитесь
3rd Pl,смо́рщатся
Past M,смо́рщился
Past F,смо́рщилась
Past N,смо́рщилось
Past PL,смо́рщились
Imp S,смо́рщись
Imp PL,смо́рщьтесь
