Infinitive,смягча́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,смягча́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,смягча́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,смягча́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,смягча́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,смягча́юсь
2nd Sing,смягча́ешься
3rd Sing,смягча́ется
1st Pl,смягча́емся
2nd Pl,смягча́етесь
3rd Pl,смягча́ются
Past M,смягча́лся
Past F,смягча́лась
Past N,смягча́лось
Past PL,смягча́лись
Imp S,смягча́йся
Imp PL,смягча́йтесь
