Infinitive,смя́ть
Zaliznyak Class,14b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,смя́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,смя́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,смя́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,смя́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сомну́
2nd Sing,сомнёшь
3rd Sing,сомнёт
1st Pl,сомнём
2nd Pl,сомнёте
3rd Pl,сомну́т
Past M,смя́л
Past F,смя́ла
Past N,смя́ло
Past PL,смя́ли
Imp S,сомни́
Imp PL,сомни́те
