Infinitive,смени́ть
Zaliznyak Class,4c⑦
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,смени́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,сменённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,смени́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,смени́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,сменю́
2nd Sing,сме́нишь
3rd Sing,сме́нит
1st Pl,сме́ним
2nd Pl,сме́ните
3rd Pl,сме́нят
Past M,смени́л
Past F,смени́ла
Past N,смени́ло
Past PL,смени́ли
Imp S,смени́
Imp PL,смени́те
