Infinitive,смекну́ть
Zaliznyak Class,3b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,смекну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,смекну́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,смекну́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,смекну́
2nd Sing,смекнёшь
3rd Sing,смекнёт
1st Pl,смекнём
2nd Pl,смекнёте
3rd Pl,смекну́т
Past M,смекну́л
Past F,смекну́ла
Past N,смекну́ло
Past PL,смекну́ли
Imp S,смекни́
Imp PL,смекни́те
