Infinitive,смири́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,смири́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,смири́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,смирю́сь
2nd Sing,смири́шься
3rd Sing,смири́тся
1st Pl,смири́мся
2nd Pl,смири́тесь
3rd Pl,смиря́тся
Past M,смири́лся
Past F,смири́лась
Past N,смири́лось
Past PL,смири́лись
Imp S,смири́сь
Imp PL,смири́тесь
