Infinitive,смы́ть
Zaliznyak Class,12a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,смы́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,смы́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,смы́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,смы́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,смо́ю
2nd Sing,смо́ешь
3rd Sing,смо́ет
1st Pl,смо́ем
2nd Pl,смо́ете
3rd Pl,смо́ют
Past M,смы́л
Past F,смы́ла
Past N,смы́ло
Past PL,смы́ли
Imp S,смо́й
Imp PL,смо́йте
