Infinitive,смея́ться
Zaliznyak Class,6b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,смею́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,смея́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,смея́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,смея́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,смею́сь
2nd Sing,смеёшься
3rd Sing,смеётся
1st Pl,смеёмся
2nd Pl,смеётесь
3rd Pl,смею́тся
Past M,смея́лся
Past F,смея́лась
Past N,смея́лось
Past PL,смея́лись
Imp S,сме́йся
Imp PL,сме́йтесь
