Infinitive,смеща́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,смеща́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,смеща́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,смеща́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,смеща́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,смеща́юсь
2nd Sing,смеща́ешься
3rd Sing,смеща́ется
1st Pl,смеща́емся
2nd Pl,смеща́етесь
3rd Pl,смеща́ются
Past M,смеща́лся
Past F,смеща́лась
Past N,смеща́лось
Past PL,смеща́лись
Imp S,смеща́йся
Imp PL,смеща́йтесь
