Infinitive,ги́бнуть
Zaliznyak Class,3°a[⑤]⑥
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,ги́бнущий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,ги́бнувший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,ги́бнув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,ги́бнувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,ги́бну
2nd Sing,ги́бнешь
3rd Sing,ги́бнет
1st Pl,ги́бнем
2nd Pl,ги́бнете
3rd Pl,ги́бнут
Past M,ги́б
Past F,ги́бла
Past N,ги́бло
Past PL,ги́бли
Imp S,ги́бни
Imp PL,ги́бните
