Infinitive,шныря́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,шныря́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,шныря́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,шныря́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,шныря́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,шныря́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,шныря́ю
2nd Sing,шныря́ешь
3rd Sing,шныря́ет
1st Pl,шныря́ем
2nd Pl,шныря́ете
3rd Pl,шныря́ют
Past M,шныря́л
Past F,шныря́ла
Past N,шныря́ло
Past PL,шныря́ли
Imp S,шныря́й
Imp PL,шныря́йте
