Infinitive,испуга́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,испуга́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,испу́ганный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,испуга́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,испуга́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,испуга́ю
2nd Sing,испуга́ешь
3rd Sing,испуга́ет
1st Pl,испуга́ем
2nd Pl,испуга́ете
3rd Pl,испуга́ют
Past M,испуга́л
Past F,испуга́ла
Past N,испуга́ло
Past PL,испуга́ли
Imp S,испуга́й
Imp PL,испуга́йте
