Infinitive,испо́лнить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,испо́лнивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,испо́лненный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,испо́лнив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,испо́лнивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,испо́лню
2nd Sing,испо́лнишь
3rd Sing,испо́лнит
1st Pl,испо́лним
2nd Pl,испо́лните
3rd Pl,испо́лнят
Past M,испо́лнил
Past F,испо́лнила
Past N,испо́лнило
Past PL,испо́лнили
Imp S,испо́лни
Imp PL,испо́лните
