Infinitive,испепели́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,испепели́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,испепелённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,испепели́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,испепели́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,испепелю́
2nd Sing,испепели́шь
3rd Sing,испепели́т
1st Pl,испепели́м
2nd Pl,испепели́те
3rd Pl,испепеля́т
Past M,испепели́л
Past F,испепели́ла
Past N,испепели́ло
Past PL,испепели́ли
Imp S,испепели́
Imp PL,испепели́те
