Infinitive,истолкова́ть
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,истолкова́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,истолко́ванный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,истолкова́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,истолкова́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,истолку́ю
2nd Sing,истолку́ешь
3rd Sing,истолку́ет
1st Pl,истолку́ем
2nd Pl,истолку́ете
3rd Pl,истолку́ют
Past M,истолкова́л
Past F,истолкова́ла
Past N,истолкова́ло
Past PL,истолкова́ли
Imp S,истолку́й
Imp PL,истолку́йте
