Infinitive,исцели́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,исцели́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,исцелённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,исцели́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,исцели́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,исцелю́
2nd Sing,исцели́шь
3rd Sing,исцели́т
1st Pl,исцели́м
2nd Pl,исцели́те
3rd Pl,исцеля́т
Past M,исцели́л
Past F,исцели́ла
Past N,исцели́ло
Past PL,исцели́ли
Imp S,исцели́
Imp PL,исцели́те
