Infinitive,испуга́ться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,испуга́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,испуга́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,испуга́юсь
2nd Sing,испуга́ешься
3rd Sing,испуга́ется
1st Pl,испуга́емся
2nd Pl,испуга́етесь
3rd Pl,испуга́ются
Past M,испуга́лся
Past F,испуга́лась
Past N,испуга́лось
Past PL,испуга́лись
Imp S,испуга́йся
Imp PL,испуга́йтесь
