Infinitive,испусти́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,испусти́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,испу́щенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,испусти́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,испусти́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,испущу́
2nd Sing,испу́стишь
3rd Sing,испу́стит
1st Pl,испу́стим
2nd Pl,испу́стите
3rd Pl,испу́стят
Past M,испусти́л
Past F,испусти́ла
Past N,испусти́ло
Past PL,испусти́ли
Imp S,испусти́
Imp PL,испусти́те
