Infinitive,испыта́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,испыта́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,испы́танный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,испыта́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,испыта́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,испыта́ю
2nd Sing,испыта́ешь
3rd Sing,испыта́ет
1st Pl,испыта́ем
2nd Pl,испыта́ете
3rd Pl,испыта́ют
Past M,испыта́л
Past F,испыта́ла
Past N,испыта́ло
Past PL,испыта́ли
Imp S,испыта́й
Imp PL,испыта́йте
