Infinitive,испра́виться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,испра́вившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,испра́вившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,испра́влюсь
2nd Sing,испра́вишься
3rd Sing,испра́вится
1st Pl,испра́вимся
2nd Pl,испра́витесь
3rd Pl,испра́вятся
Past M,испра́вился
Past F,испра́вилась
Past N,испра́вилось
Past PL,испра́вились
Imp S,испра́вься
Imp PL,испра́вьтесь
