Infinitive,истле́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,истле́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,истле́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,истле́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,истле́ю
2nd Sing,истле́ешь
3rd Sing,истле́ет
1st Pl,истле́ем
2nd Pl,истле́ете
3rd Pl,истле́ют
Past M,истле́л
Past F,истле́ла
Past N,истле́ло
Past PL,истле́ли
Imp S,истле́й
Imp PL,истле́йте
