Infinitive,исте́чь
Zaliznyak Class,8b/b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,истёкший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,истёкши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,истеку́
2nd Sing,истечёшь
3rd Sing,истечёт
1st Pl,истечём
2nd Pl,истечёте
3rd Pl,истеку́т
Past M,истёк
Past F,истекла́
Past N,истекло́
Past PL,истекли́
Imp S,истеки́
Imp PL,истеки́те
