Infinitive,исключа́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,исключа́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,исключа́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,исключа́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,исключа́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,исключа́юсь
2nd Sing,исключа́ешься
3rd Sing,исключа́ется
1st Pl,исключа́емся
2nd Pl,исключа́етесь
3rd Pl,исключа́ются
Past M,исключа́лся
Past F,исключа́лась
Past N,исключа́лось
Past PL,исключа́лись
Imp S,исключа́йся
Imp PL,исключа́йтесь
