Infinitive,иссе́чь
Zaliznyak Class,8b/b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,иссе́кший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,short
PART:1:Participle Text,иссёкший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,иссечённый
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,иссе́кши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,иссёкши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,иссеку́
2nd Sing,иссечёшь
3rd Sing,иссечёт
1st Pl,иссечём
2nd Pl,иссечёте
3rd Pl,иссеку́т
Past M,иссёк
Past F,иссекла́
Past N,иссекло́
Past PL,иссекли́
Imp S,иссеки́
Imp PL,иссеки́те
