Infinitive,испещри́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,испещри́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,испещрённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,испещри́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,испещри́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,испещрю́
2nd Sing,испещри́шь
3rd Sing,испещри́т
1st Pl,испещри́м
2nd Pl,испещри́те
3rd Pl,испещря́т
Past M,испещри́л
Past F,испещри́ла
Past N,испещри́ло
Past PL,испещри́ли
Imp S,испещри́
Imp PL,испещри́те
