Infinitive,искажа́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,искажа́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,искажа́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,искажа́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,искажа́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,искажа́юсь
2nd Sing,искажа́ешься
3rd Sing,искажа́ется
1st Pl,искажа́емся
2nd Pl,искажа́етесь
3rd Pl,искажа́ются
Past M,искажа́лся
Past F,искажа́лась
Past N,искажа́лось
Past PL,искажа́лись
Imp S,искажа́йся
Imp PL,искажа́йтесь
