Infinitive,искриви́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,искриви́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,искривлённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,искриви́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,искриви́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,искривлю́
2nd Sing,искриви́шь
3rd Sing,искриви́т
1st Pl,искриви́м
2nd Pl,искриви́те
3rd Pl,искривя́т
Past M,искриви́л
Past F,искриви́ла
Past N,искриви́ло
Past PL,искриви́ли
Imp S,искриви́
Imp PL,искриви́те
