Infinitive,искупа́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,искупа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,иску́панный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,искупа́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,искупа́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,искупа́ю
2nd Sing,искупа́ешь
3rd Sing,искупа́ет
1st Pl,искупа́ем
2nd Pl,искупа́ете
3rd Pl,искупа́ют
Past M,искупа́л
Past F,искупа́ла
Past N,искупа́ло
Past PL,искупа́ли
Imp S,искупа́й
Imp PL,искупа́йте
