Infinitive,испы́тываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,испы́тывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,испы́тывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,испы́тываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,испы́тывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,испы́тываюсь
2nd Sing,испы́тываешься
3rd Sing,испы́тывается
1st Pl,испы́тываемся
2nd Pl,испы́тываетесь
3rd Pl,испы́тываются
Past M,испы́тывался
Past F,испы́тывалась
Past N,испы́тывалось
Past PL,испы́тывались
Imp S,испы́тывайся
Imp PL,испы́тывайтесь
