Infinitive,испи́ть
Zaliznyak Class,11*b/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,испи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,испи́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,испи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,испи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,изопью́
2nd Sing,изопьёшь
3rd Sing,изопьёт
1st Pl,изопьём
2nd Pl,изопьёте
3rd Pl,изопью́т
Past M,испи́л
Past F,испила́
Past N,испи́ло
Past PL,испи́ли
Imp S,испе́й
Imp PL,испе́йте
