Infinitive,искупи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,искупи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,иску́пленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,искупи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,искупи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,искуплю́
2nd Sing,иску́пишь
3rd Sing,иску́пит
1st Pl,иску́пим
2nd Pl,иску́пите
3rd Pl,иску́пят
Past M,искупи́л
Past F,искупи́ла
Past N,искупи́ло
Past PL,искупи́ли
Imp S,искупи́
Imp PL,искупи́те
