Infinitive,испо́ртиться
Zaliznyak Class,4a[②]
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,испо́ртившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,испо́ртившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,испо́рчусь
2nd Sing,испо́ртишься
3rd Sing,испо́ртится
1st Pl,испо́ртимся
2nd Pl,испо́ртитесь
3rd Pl,испо́ртятся
Past M,испо́ртился
Past F,испо́ртилась
Past N,испо́ртилось
Past PL,испо́ртились
Imp S,испо́ртись
Imp PL,испо́ртитесь
