Infinitive,исче́рпываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,исче́рпывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,исче́рпывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,исче́рпываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,исче́рпывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,исче́рпываюсь
2nd Sing,исче́рпываешься
3rd Sing,исче́рпывается
1st Pl,исче́рпываемся
2nd Pl,исче́рпываетесь
3rd Pl,исче́рпываются
Past M,исче́рпывался
Past F,исче́рпывалась
Past N,исче́рпывалось
Past PL,исче́рпывались
Imp S,исче́рпывайся
Imp PL,исче́рпывайтесь
