Infinitive,испра́вить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,испра́вивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,испра́вленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,испра́вив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,испра́вивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,испра́влю
2nd Sing,испра́вишь
3rd Sing,испра́вит
1st Pl,испра́вим
2nd Pl,испра́вите
3rd Pl,испра́вят
Past M,испра́вил
Past F,испра́вила
Past N,испра́вило
Past PL,испра́вили
Imp S,испра́вь
Imp PL,испра́вьте
