Infinitive,иссяка́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,иссяка́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,иссяка́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,иссяка́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,иссяка́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,иссяка́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,иссяка́ю
2nd Sing,иссяка́ешь
3rd Sing,иссяка́ет
1st Pl,иссяка́ем
2nd Pl,иссяка́ете
3rd Pl,иссяка́ют
Past M,иссяка́л
Past F,иссяка́ла
Past N,иссяка́ло
Past PL,иссяка́ли
Imp S,иссяка́й
Imp PL,иссяка́йте
