Infinitive,испо́льзоваться
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,испо́льзующийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,испо́льзовавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,испо́льзуясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,испо́льзовавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,испо́льзуюсь
2nd Sing,испо́льзуешься
3rd Sing,испо́льзуется
1st Pl,испо́льзуемся
2nd Pl,испо́льзуетесь
3rd Pl,испо́льзуются
Past M,испо́льзовался
Past F,испо́льзовалась
Past N,испо́льзовалось
Past PL,испо́льзовались
Imp S,испо́льзуйся
Imp PL,испо́льзуйтесь
