Infinitive,испо́ртить
Zaliznyak Class,4a[②]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,испо́ртивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,испо́рченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,испо́ртив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,испо́ртивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,испо́рчу
2nd Sing,испо́ртишь
3rd Sing,испо́ртит
1st Pl,испо́ртим
2nd Pl,испо́ртите
3rd Pl,испо́ртят
Past M,испо́ртил
Past F,испо́ртила
Past N,испо́ртило
Past PL,испо́ртили
Imp S,испо́рти
Imp PL,испо́ртите
