Infinitive,иссле́довать
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,иссле́дующий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,иссле́довавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,иссле́дуемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,иссле́дованный
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,иссле́дуя
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,иссле́довав
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,иссле́довавши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,иссле́дую
2nd Sing,иссле́дуешь
3rd Sing,иссле́дует
1st Pl,иссле́дуем
2nd Pl,иссле́дуете
3rd Pl,иссле́дуют
Past M,иссле́довал
Past F,иссле́довала
Past N,иссле́довало
Past PL,иссле́довали
Imp S,иссле́дуй
Imp PL,иссле́дуйте
