Infinitive,истерза́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,истерза́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,исте́рзанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,истерза́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,истерза́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,истерза́ю
2nd Sing,истерза́ешь
3rd Sing,истерза́ет
1st Pl,истерза́ем
2nd Pl,истерза́ете
3rd Pl,истерза́ют
Past M,истерза́л
Past F,истерза́ла
Past N,истерза́ло
Past PL,истерза́ли
Imp S,истерза́й
Imp PL,истерза́йте
