Infinitive,исче́рпать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,исче́рпавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,исче́рпанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,исче́рпав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,исче́рпавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,исче́рпаю
2nd Sing,исче́рпаешь
3rd Sing,исче́рпает
1st Pl,исче́рпаем
2nd Pl,исче́рпаете
3rd Pl,исче́рпают
Past M,исче́рпал
Past F,исче́рпала
Past N,исче́рпало
Past PL,исче́рпали
Imp S,исче́рпай
Imp PL,исче́рпайте
