Infinitive,искуса́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,искуса́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,иску́санный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,искуса́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,искуса́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,искуса́ю
2nd Sing,искуса́ешь
3rd Sing,искуса́ет
1st Pl,искуса́ем
2nd Pl,искуса́ете
3rd Pl,искуса́ют
Past M,искуса́л
Past F,искуса́ла
Past N,искуса́ло
Past PL,искуса́ли
Imp S,искуса́й
Imp PL,искуса́йте
