Infinitive,искази́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,искази́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,искажённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,искази́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,искази́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,искажу́
2nd Sing,искази́шь
3rd Sing,искази́т
1st Pl,искази́м
2nd Pl,искази́те
3rd Pl,исказя́т
Past M,искази́л
Past F,искази́ла
Past N,искази́ло
Past PL,искази́ли
Imp S,искази́
Imp PL,искази́те
