Infinitive,исполня́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,исполня́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,исполня́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,исполня́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,исполня́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,исполня́юсь
2nd Sing,исполня́ешься
3rd Sing,исполня́ется
1st Pl,исполня́емся
2nd Pl,исполня́етесь
3rd Pl,исполня́ются
Past M,исполня́лся
Past F,исполня́лась
Past N,исполня́лось
Past PL,исполня́лись
Imp S,исполня́йся
Imp PL,исполня́йтесь
