Infinitive,исче́знуть
Zaliznyak Class,3°a⑥
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,исче́знувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,исче́знув
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,исче́знувши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,исче́зну
2nd Sing,исче́знешь
3rd Sing,исче́знет
1st Pl,исче́знем
2nd Pl,исче́знете
3rd Pl,исче́знут
Past M,исче́з
Past F,исче́зла
Past N,исче́зло
Past PL,исче́зли
Imp S,исче́зни
Imp PL,исче́зните
