Infinitive,искупа́ться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,искупа́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,искупа́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,искупа́юсь
2nd Sing,искупа́ешься
3rd Sing,искупа́ется
1st Pl,искупа́емся
2nd Pl,искупа́етесь
3rd Pl,искупа́ются
Past M,искупа́лся
Past F,искупа́лась
Past N,искупа́лось
Past PL,искупа́лись
Imp S,искупа́йся
Imp PL,искупа́йтесь
