Infinitive,исправля́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,исправля́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,исправля́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,исправля́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,исправля́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,исправля́юсь
2nd Sing,исправля́ешься
3rd Sing,исправля́ется
1st Pl,исправля́емся
2nd Pl,исправля́етесь
3rd Pl,исправля́ются
Past M,исправля́лся
Past F,исправля́лась
Past N,исправля́лось
Past PL,исправля́лись
Imp S,исправля́йся
Imp PL,исправля́йтесь
