Infinitive,исписа́ть
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,исписа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,испи́санный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,исписа́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,исписа́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,испишу́
2nd Sing,испи́шешь
3rd Sing,испи́шет
1st Pl,испи́шем
2nd Pl,испи́шете
3rd Pl,испи́шут
Past M,исписа́л
Past F,исписа́ла
Past N,исписа́ло
Past PL,исписа́ли
Imp S,испиши́
Imp PL,испиши́те
