Infinitive,испо́лниться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,испо́лнившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,испо́лнившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,испо́лнюсь
2nd Sing,испо́лнишься
3rd Sing,испо́лнится
1st Pl,испо́лнимся
2nd Pl,испо́лнитесь
3rd Pl,испо́лнятся
Past M,испо́лнился
Past F,испо́лнилась
Past N,испо́лнилось
Past PL,испо́лнились
Imp S,испо́лнись
Imp PL,испо́лнитесь
