Infinitive,исходи́ть
Zaliznyak Class,4c
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,исходя́щий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,исходи́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,исходя́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,исходи́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,исходи́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,исхожу́
2nd Sing,исхо́дишь
3rd Sing,исхо́дит
1st Pl,исхо́дим
2nd Pl,исхо́дите
3rd Pl,исхо́дят
Past M,исходи́л
Past F,исходи́ла
Past N,исходи́ло
Past PL,исходи́ли
Imp S,исходи́
Imp PL,исходи́те
