Infinitive,испе́чь
Zaliznyak Class,8b/b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,испёкший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,испечённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,испёкши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,испеку́
2nd Sing,испечёшь
3rd Sing,испечёт
1st Pl,испечём
2nd Pl,испечёте
3rd Pl,испеку́т
Past M,испёк
Past F,испекла́
Past N,испекло́
Past PL,испекли́
Imp S,испеки́
Imp PL,испеки́те
