Infinitive,искази́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,искази́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,искази́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,искажу́сь
2nd Sing,искази́шься
3rd Sing,искази́тся
1st Pl,искази́мся
2nd Pl,искази́тесь
3rd Pl,исказя́тся
Past M,искази́лся
Past F,искази́лась
Past N,искази́лось
Past PL,искази́лись
Imp S,искази́сь
Imp PL,искази́тесь
