Infinitive,искове́ркать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,искове́ркавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,искове́рканный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,искове́ркав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,искове́ркавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,искове́ркаю
2nd Sing,искове́ркаешь
3rd Sing,искове́ркает
1st Pl,искове́ркаем
2nd Pl,искове́ркаете
3rd Pl,искове́ркают
Past M,искове́ркал
Past F,искове́ркала
Past N,искове́ркало
Past PL,искове́ркали
Imp S,искове́ркай
Imp PL,искове́ркайте
