Infinitive,исцара́пать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,исцара́павший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,исцара́панный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,исцара́пав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,исцара́павши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,исцара́паю
2nd Sing,исцара́паешь
3rd Sing,исцара́пает
1st Pl,исцара́паем
2nd Pl,исцара́паете
3rd Pl,исцара́пают
Past M,исцара́пал
Past F,исцара́пала
Past N,исцара́пало
Past PL,исцара́пали
Imp S,исцара́пай
Imp PL,исцара́пайте
