Infinitive,истощи́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,истощи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,истощённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,истощи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,истощи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,истощу́
2nd Sing,истощи́шь
3rd Sing,истощи́т
1st Pl,истощи́м
2nd Pl,истощи́те
3rd Pl,истоща́т
Past M,истощи́л
Past F,истощи́ла
Past N,истощи́ло
Past PL,истощи́ли
Imp S,истощи́
Imp PL,истощи́те
