Infinitive,испари́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,испари́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,испари́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,испарю́сь
2nd Sing,испари́шься
3rd Sing,испари́тся
1st Pl,испари́мся
2nd Pl,испари́тесь
3rd Pl,испаря́тся
Past M,испари́лся
Past F,испари́лась
Past N,испари́лось
Past PL,испари́лись
Imp S,испари́сь
Imp PL,испари́тесь
