Infinitive,испро́бовать
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,испро́бовавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,испро́бованный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,испро́бовав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,испро́бовавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,испро́бую
2nd Sing,испро́буешь
3rd Sing,испро́бует
1st Pl,испро́буем
2nd Pl,испро́буете
3rd Pl,испро́буют
Past M,испро́бовал
Past F,испро́бовала
Past N,испро́бовало
Past PL,испро́бовали
Imp S,испро́буй
Imp PL,испро́буйте
