Infinitive,исся́кнуть
Zaliznyak Class,3°a[⑥]
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,исся́кший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,short
PART:1:Participle Text,исся́кнувший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,исся́кнув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,исся́кши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,исся́кну
2nd Sing,исся́кнешь
3rd Sing,исся́кнет
1st Pl,исся́кнем
2nd Pl,исся́кнете
3rd Pl,исся́кнут
Past M,исся́к
Past F,исся́кла
Past N,исся́кло
Past PL,исся́кли
Imp S,исся́кни
Imp PL,исся́кните
